# Секція категорій — можна редагувати в Excel
id,назва,emoji,порядок
protein,"Протеїни",🥛,1
gainer,"Гейнери",🏋️,2
creatine,"Креатин",⚡,3
amino,"Амінокислоти / BCAA",🧬,4
preworkout,"Передтренувальні",🔥,5
vitamins,"Вітаміни / мінерали",💊,6
fatburner,"Жироспалювачі",🔥,8
accessories,"Аксесуари",🥤,9
isotonic,"Ізотоніки",🧃,11
adaptogeny,"Адаптогени",📦,14
omega-3-ta-zhyrni-kyslot,"Омега-3 та жирні кислоти",📦,17
son-i-nervova-systema,"Сон і нервова система",📦,20
zdorovya-ta-vidnovlennya,"Здоров'я та відновлення",📦,21
krasa-i-zdorovya-shkiry-,"Краса і здоров'я шкіри, нігтів, волосся",📦,22
dlya-mozku,"Для мозку",📦,25
zdorovya-suglobiv-i-zvya,"Здоров’я суглобів і зв’язок",📦,26
nad,"NAD+",📦,28
dlya-pechinky,"Для печінки",📦,29
dlya-shlunku-ta-probioty,"Для шлунку та пробіотики",📦,30
protyzapalni-kompleksy,"Протизапальні комплекси",📦,31
gormonalna-pidtrymka,"Гормональна підтримка",📦,32
dlya-pidtrymky-sertsya-i,"Для підтримки серця і кровообігу",📦,33

# Секція товарів — можна редагувати в Excel
# Колонка E (собівартість) — для власного аналізу маржі, каса її ігнорує
id,категорія,назва,кількість,собівартість,ціна продажу
1365,preworkout,"Передтренувальний комплекс Kevin Levrone Levro Pump (грейпфрут) - 360 грам",20,,800
1367,preworkout,"Передтренувальний комплекс MusclePharm Assault (зелене яблуко) - 345 грам",20,,1080
1371,preworkout,"Передтренувальний комплекс Cellucor C4 Original - 190 грам",20,,1050
1383,zdorovya-ta-vidnovlennya,"Комплекс хондропротекторів 7 Nutrition Flexit Joint Steel (лимон) - 450 грам",20,,800
1387,amino,"Амінокислоти BCAA Lean Energy EVL Nutrition (виноград) - 309 грам",20,,950
1390,amino,"Амінокислоти BCAA Nutrex Research 6000 Recovery (фруктовий пунш) - 231 грам",20,,813
1394,amino,"Амінокислоти BCAA Rule One BCAA - 255 грам",20,,850
1399,amino,"Амінокислоти BCAA EVL Nutrition BCAA (фруктовий пунш) - 237 грам",20,,900
1403,fatburner,"L-карнітин FitMax Green Coffee L-Carnitine - 60 капсул",20,,400
1407,fatburner,"L-карнітин Pure Nutrition USA L-Carnitine 1000 мг – 60 капсул",20,,850
1410,fatburner,"L-карнітин рідкий HS Labs 3000 мг (груша) - 500 мл",20,,900
1414,vitamins,"Мультивітамінний комплекс для чоловіків, VPLab Ultra Men's Sport - 90 таблеток",20,,800
1415,vitamins,"Мультивітамінний комплекс для чоловіків, VPLab Ultra Men's Sport - 180 таблеток",20,,1640
1418,vitamins,"Мультивітамінний комплекс для жінок Vplab Ultra Women’s - 90 таблеток",20,,800
1434,vitamins,"Мультивітамінний комплекс Pure Nutrition DAILY VITAMINS - 100 таблеток",20,,650
1437,vitamins,"Вітамін Д3 Pure Nutrition USA D3 400 IU (10 mcg) - 100 капсул",20,,450
1440,amino,"Цитрулін малат HS Labs CITRULLINE MALATE (ківі, кактус) - 300 грам",20,,700
1444,vitamins,"Мультивітамінний комплекс HS Labs A - Z VITAMINS - 90 таблеток",20,,550
1448,adaptogeny,"Ашваганда ActivLab Ashwagandha 300 мг - 60 капсул",20,,700
1452,adaptogeny,"Ашваганда Olimp Labs Ashwagandha 300 мг - 60 капсул",20,,600
1455,zdorovya-ta-vidnovlennya,"Комплекс хондропротекторів MST Flex PRO (без смаку) - 420 грам",20,,1600
1459,fatburner,"L-карнітин Powerful Progress CARNI-Х - 90 капсул",20,,500
1464,amino,"Глютамін Gaspari Nutrition GLUTAMINE – 300 грам",20,,775
1468,dlya-pechinky,"Спіруліна Swanson Certified Organic Spirulina 500 мг - 180 таблеток",20,,460
1471,dlya-pechinky,"Спіруліна NOW Spirulina Organic 500 мг - 100 таблеток",20,,350
1474,vitamins,"Мультивітамінний комплекс для чоловіків NOW ADAM - 90 капсул",20,,1000
1479,dlya-shlunku-ta-probioty,"Хлорофіл рідкий Swanson Liquid Chlorophyll 100 мг - 473 мл",20,,750
1483,dlya-shlunku-ta-probioty,"Хлорофіл рідкий, NOW, Liquid Chlorophyll 100 мг - 473 мл",20,,1190
1488,son-i-nervova-systema,"Мелатонін, IronFlex, Melatonin 10 мг - 100 таблеток",20,,200
1490,vitamins,"Калій глюконат, Nature's Truth, Potassium Gluconate 595 мг - 100 таблеток",20,,480
1507,protyzapalni-kompleksy,"Босвелія Swanson Boswellia 400 мг - 100 капсул",20,,420
1512,adaptogeny,"Ашваганда Horbäach Ashwagandha 450 мг - 120 капсул",20,,650
1517,son-i-nervova-systema,"Екстракт рідкий з канабіноїдами для сну, SLEEP AID, OIL TINCTURE, CBD, CBG, CBN 1500 мг - 30 мл",20,,2000
1522,vitamins,"Ліпосомальний вітамін C, Carlyle, Liposomal Vitamin C 2200 мг - 90 капсул",20,,750
1537,vitamins,"Вітамін Е Nature's Truth Vitamin E 450 мг - 60 капсул",20,,900
1540,vitamins,"Вітаміни Д3 і K2 Swanson Vitamins D3 & K2 - 60 капсул",20,,550
1544,zdorovya-ta-vidnovlennya,"Ацетилцистеїн Doctor's Best NAC Detox Regulators - 60 капсул",20,,475
1547,vitamins,"Гліцинат магнію Swanson Albion® 133 мг - 90 капсул",20,,350
1550,vitamins,"Вітамін Д3 Swanson Vitamin D3 2000 МО - 250 капсул",20,,413
1558,vitamins,"Омега 3-6-9 Nature's Truth Triple Omega 3-6-9 3600 мг - 200 капсул",20,,1175
1564,zdorovya-ta-vidnovlennya,"Ашваганда Carlyle Ashwagandha 3000 мг - 300 капсул",20,,1330
1568,gormonalna-pidtrymka,"Міо-інозитол + D-хіро-інозитол, Totaria Health MYO + D-Chiro Inositol — 120 капсул",20,,1700
1615,omega-3-ta-zhyrni-kyslot,"Омега-3, Риб’ячий жир Pure Nutrition USA 1000 мг - 400 EPA / 300 DHA - 100 капсул",20,,1200
1616,omega-3-ta-zhyrni-kyslot,"Омега-3, Риб’ячий жир Pure Nutrition USA 1000 мг - 400 EPA / 300 DHA - 200 капсул",20,,2300
1617,vitamins,"Цинк піколінат Swanson Zinc Picolinate 22 мг - 60 капсул",20,,190
1620,vitamins,"Вітамін Б комплекс (антистрес), KAL, Stress B-Complex - 100 таблеток",20,,490
1623,zdorovya-ta-vidnovlennya,"Глюкозамін і хондроїтин Swanson (TruFlex) Glucosamine & Chondroitin - 90 капсул",20,,600
1626,protyzapalni-kompleksy,"Метилсульфонілметан, органічна сірка, МСМ, NOW MSM 1000 мг - 240 капсул",20,,1200
1635,vitamins,"Мультивітамінний комплекс для дітей, Nature's Plus Animal Parade Multivitamin (жувальні таблетки зі смаком) - 90 таблеток",20,,700
1638,vitamins,"Мультивітамінний комплекс для дітей, Nature's Plus Animal Parade Multivitamin (жувальні таблетки зі смаком) - 180 таблеток",20,,1250
1639,zdorovya-ta-vidnovlennya,"Глюкозамін, хондроїтин, МСМ, куркума, Horbäach, Glucosamine Chondroitin MSM Turmeric - 360 капсул",20,,1860
1646,vitamins,"Вітамін С, 1000 мг, NOW, C-1000 - 100 капсул",20,,450
1649,vitamins,"Вітамін Д3, NOW, Vitamin D-3, 2000 МО - 120 капсул",20,,280
1652,zdorovya-ta-vidnovlennya,"Ліпосомальний нікотинамід, Orgabay, Liposomal Nicotinamide Riboside 2000 мг - 60 капсул",20,,1060
1657,zdorovya-ta-vidnovlennya,"Ліпосомальний глутатіон, Prunucis, Liposomal Glutathione 2400 мг - 60 капсул",20,,1180
1719,vitamins,"Вітамін К2 і Д3, Horbäach, Vitamin K-2 Complex - 180 капсул",20,,910
1725,dlya-pechinky,"Тауроурзодезоксихолева кислота для підтримки печінки (тудка), Totaria health, TUDCA (Tauroursodeoxycholic Acid) Supplement 1200 мг - 120 капсул",20,,2250
1731,dlya-pechinky,"Тауроурзодезоксихолева кислота для підтримки печінки (тудка), KoNefancy, TUDCA (Tauroursodeoxycholic Acid) Liver Supplements 1000 мг - 60 капсул",20,,1375
1734,vitamins,"Магній гліцинат (бісгліцинат), Allcoovita, Magnesium glycinate 400 мг - 180 капсул",20,,1300
1743,vitamins,"Омега-3, риб’ячий жир, Now, Omega-3, 180 EPA/120 DHA - 100 капсул",20,,450
1746,vitamins,"Омега-3, риб'ячий жир, Now, Ultra Omega-3 500 EPA/250 DHA 1000 мг - 180 капсул",20,,1650
1749,vitamins,"Вітамін Е, Nature's Truth, Vitamin E 90 мг (200 МО) - 100 капсул",20,,310
